[COT 2024-02-04 23:09:22] 76561199108250772: Teleported to position <5643.580566, 28.709999, 5416.662109>
[COT 2024-02-05 00:22:50] 76561199407766611: Set GodMode To true [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2024-02-05 00:22:51] 76561199407766611: Set Invisibility To 1 [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2024-02-05 00:22:52] 76561199407766611: Set UnlimitedStamina To true [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2024-02-05 00:22:52] 76561199407766611: Set UnlimitedAmmo To true [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2024-02-05 00:22:56] 76561199407766611: Set Invisibility To 1 [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:22:57] 76561199407766611: Set UnlimitedStamina To true [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:22:57] 76561199407766611: Set UnlimitedAmmo To true [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:22:58] 76561199407766611: Set UnlimitedStamina To true [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:23:00] 76561199407766611: Set UnlimitedAmmo To false [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:23:00] 76561199407766611: Set UnlimitedStamina To false [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:23:02] 76561199407766611: Healed [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:51:50] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4a8180>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:50] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4a3090>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:50] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4abb50>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:51] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4a5340>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:51] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4ade00>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:51] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4b2360>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:51] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4af520>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:51] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4b7fe0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:51] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4b2ef0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:51] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7ddd160>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:52] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7dd8c00>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:52] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7dd9790>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:52] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7dda320>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:52] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7de2de0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:52] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7de5c20>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:52] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7decfc0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:53] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7de67b0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:53] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7dedb50>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:53] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7df4ef0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:53] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7df0990>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:53] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7df88c0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:53] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7dfc290>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:54] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7df9fe0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:54] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7e01380>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:54] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7e02aa0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:54] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7dfce20>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:54] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7dfd9b0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:54] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7e0cc80>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:55] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7e06470>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:55] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7e0e3a0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:55] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7e162d0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:55] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7e0fac0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:55] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d7e11d70>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:55] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<155cd640>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
